Brand,Model_Year,Capacity,Star_Rating,Inverter_Type,Rating,Annual_Power,Room_size,Warranty,Original_Price,Dicount_Pct,Price_After_Discount
IFB 2025,2025,['2 Ton'],3 Star,Star Split Inverter,4.2,1252.53 Units,151 - 200,,"₹73,740",44,"₹40,590"
Daikin 2024,2024,['0.8 Ton'],3 Star,Star Split AC,4.2,574.39 Units,90,,"₹38,100",35,"₹24,490"
Daikin 2024,2024,['1 Ton'],5 Star,Star Split Inverter,4.2,523.54 Units,90,1 Years Warranty On Product,"₹55,364",37,"₹34,778"
ONIDA 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.1,1012.16 kWh,111 - 150,(1 Year Standard,"₹51,490",45,"₹27,990"
Midea 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.3,952.68 Units,111 - 150,(1 Year Standard,"₹57,400",51,"₹27,990"
Midea 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4.3,685.62 Units,90,1 Year Warranty on Product,"₹48,500",45,"₹26,490"
Blue Star,2025,['1 Ton'],5 Star,Star Split Inverter,4.1,538.94 Units,90,1 Year Warranty on Product,"₹59,000",41,"₹34,790"
Whirlpool 2024,2024,['1.5 Ton'],3 Star,Star Split Inverter,4.1,1015.5 Units,111 - 150,5 Years Warranty on Whole Product,"₹65,400",55,"₹28,999"
Godrej 2025,2025,['1.4 Ton'],3 Star,Star Split Inverter,3.8,905.88 Units,111 - 150,(1 Year Standard,"₹40,450",34,"₹26,690"
Midea 2025,2025,['1 Ton'],5 Star,Star Split Inverter,4.2,536.2 Units,90,1 Year Warranty on Product,"₹54,700",43,"₹30,990"
Blue Star,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.1,1026.46 Units,111 - 150,1 Year Warranty on Product,"₹59,200",41,"₹34,490"
Haier 2024,2024,['1 Ton'],3 Star,Star Split Triple,4.1,697.66 Units,90,5 years on Product,"₹60,000",48,"₹30,770"
Panasonic 2024,2024,['1 Ton'],5 Star,Star Split Inverter,4.2,524.08 Units,90,,"₹54,100",33,"₹35,990"
Haier 1,,['1.6 Ton'],5 Star,Star Split Inverter,4.2,836.95 kWh,151 - 200,(1 Year Standard,"₹78,200",44,"₹43,290"
Midea 2025,2025,['1.5 Ton'],5 Star,Star Split Inverter,4.3,789.6 Units,111 - 150,5 Years Warranty on Whole Product,"₹63,500",46,"₹33,990"
Godrej 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4,951.91 Units,111 - 150,1 Year Comprehensive Warranty on Product,"₹42,300",33,"₹27,990"
LG AI,2024,['1 Ton'],3 Star,Star Split Dual,4.2,650.52 Units,90,1 Year on Product,"₹67,990",56,"₹29,490"
MOTOROLA 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.2,1011.43 Units,111 - 150,,"₹52,499",48,"₹26,990"
Voltas 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,4.2,751.28 Units,111 - 150,1 Year on Product,"₹75,990",51,"₹36,970"
IFB 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4,657.31 Units,90,1 Year Comprehensive Warranty on Product,"₹48,849",46,"₹25,990"
LG 2025,2025,['1 Ton'],5 Star,Star Split AI,4.2,515.84 Units,90,1 Year Warranty on Product,"₹69,990",49,"₹35,490"
Blue Star,2025,['1 Ton'],3 Star,Star Split Inverter,4.1,706.99 Units,90,,"₹48,300",37,"₹29,990"
TCL 2025,2025,['1 Ton'],3 Star,Star Split Dual,4,657.31 Units,90,,"₹50,991",54,"₹22,990"
CARRIER 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4.2,685.62 Units,90,,"₹52,900",44,"₹29,490"
Voltas 2024,2024,['1 Ton'],5 Star,Star Split Inverter,4.2,511.13 Units,90,1 Year Warranty on Product,"₹63,990",48,"₹32,800"
Blue Star,2024,['0.8 Ton'],3 Star,Star Split Inverter,4.2,544.39 Units,90,1 Year Warranty on Product,"₹42,500",40,"₹25,490"
Lloyd Stellar,2025,['1.5 Ton'],5 Star,Star Split Inverter,4.1,752.72 Units,111 - 150,1 Year Warranty on Product,"₹82,490",31,"₹56,190"
Hitachi 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4,1013.01 W,111 - 150,(1 Year Standard,"₹53,050",36,"₹33,490"
Midea 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.3,952.68 Units,111 - 150,(1 Year Standard,"₹57,400",51,"₹27,990"
