Brand,Model_Year,Capacity,Star_Rating,Inverter_Type,Rating,Annual_Power,Room_size,Warranty,Original_Price,Dicount_Pct,Price_After_Discount
Midea 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4.3,1575 Units,111 - 150,1 Year Warranty on Product,"₹68,990",45,"₹26,490"
Godrej 2025,2025,['1.4 Ton'],3 Star,Star Split Inverter,3.8,1750 Units,90,1 Year on Product,"₹54,990",34,"₹26,690"
CARRIER 2023,2023,['1.5 Ton'],3 Star,Star Split AI,4.2,536.2 Units,111 - 150,1 Year Comprehensive Warranty on Product,"₹54,700",49,"₹34,650"
CARRIER 1,,['1.5 Ton'],3 Star,Star Split Inverter,4.2,789.6 Units,111 - 150,1 Year Comprehensive Warranty on AC,"₹63,500",33,"₹36,450"
Midea 2025,2025,['1 Ton'],5 Star,Star Split Inverter,4.2,943.67 Units,111 - 150,5 Years Warranty on Whole Product,"₹65,400",43,"₹30,990"
Midea 2025,2025,['1.5 Ton'],5 Star,Star Split Inverter,4.3,0 Units,111 - 150,,"₹32,990",46,"₹33,990"
Whirlpool 2024,2024,['1.5 Ton'],3 Star,Star Split Inverter,4.1,1002.72 Units,90,1 Year Warranty on Product,"₹56,500",48,"₹33,850"
Voltas 1,,['1.5 Ton'],3 Star,Star Window AC,4.2,574.71 Units,111 - 150,1 Year Comprehensive Warranty on Product,"₹58,000",9,"₹29,999"
Panasonic Convertible,2023,['1.5 Ton'],3 Star,Star Split Inverter,4.2,951.91 Units,111 - 150,1 Year on Product,"₹42,300",39,"₹34,350"
Lloyd 1,,['1 Ton'],5 Star,Star Split Inverter,4,751.28 Units,111 - 150,,"₹75,990",44,"₹31,999"
Godrej 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4,975.26 Units,90,1 Year Warranty on Product,"₹64,940",33,"₹27,990"
Voltas 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,4.2,515.27 Units,90,1 Year Warranty on Product,"₹48,849",51,"₹36,970"
Voltas 2024,2024,['1.5 Ton'],3 Star,Star Split Inverter,4.2,657.31 Units,90,1 Year Warranty on Product,"₹63,990",54,"₹29,690"
Whirlpool Convertible,2023,['1 Ton'],5 Star,Star Split Inverter,4.1,511.13 Units,111 - 150,1 Year Warranty on Product,"₹62,500",46,"₹60,500"
IFB 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4,1029.65 Units,111 - 150,(1 Year Standard,"₹61,300",48,"₹25,990"
Voltas 2024,2024,['1 Ton'],5 Star,Star Split Inverter,4.2,966.47 Units,90,(1 Year Standard,"₹57,000",44,"₹32,800"
Whirlpool 4,,['1.5 Ton'],3 Star,Star Split Inverter,4.1,684.14 Units,111 - 150,1 Year Warranty on Product,"₹70,500",37,"₹34,540"
Daikin 1,,['1.5 Ton'],3 Star,Star Split Inverter,4.2,751.65 Units,111 - 150,1 Year Warranty on Product,"₹57,400",34,"₹38,113"
Whirlpool 6th,2024,['1 Ton'],3 Star,Star Split Inverter,4.1,952.68 Units,90,5 Years Warranty on Whole Product,"₹48,500",47,"₹30,067"
Lloyd 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,4.1,685.62 Units,90,(1 Year Standard,"₹42,900",46,"₹37,850"
Midea 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.3,689.19 Units,111 - 150,1 Year Warranty on Product,"₹44,900",51,"₹27,990"
Midea 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4.3,1002.84 Units,111 - 150,1 Year Warranty on Product,"₹40,450",45,"₹26,490"
ONIDA 2023,2023,['1 Ton'],3 Star,Star Split Inverter,4.2,905.88 Units,90,5 Years Warranty on Whole Product,"₹54,700",37,"₹26,671"
ONIDA 2023,2023,['1.5 Ton'],3 Star,Star Split Inverter,4.1,536.2 Units,90,5 Years Warranty on Product,"₹52,990",33,"₹29,891"
Godrej 2025,2025,['1.4 Ton'],3 Star,Star Split Inverter,3.8,533.89 Units,111 - 150,(1 Year Standard,"₹49,699",34,"₹26,690"
Midea 2025,2025,['1 Ton'],5 Star,Star Split Inverter,4.2,953.67 Units,90,5 Years Warranty on Whole Product,"₹39,500",43,"₹30,990"
Lloyd 2025,2025,['1 Ton'],5 Star,Star Split Inverter,4,1054 Units,90,1 Year Comprehensive Warranty on Product,"₹67,000",41,"₹30,990"
realme TechLife,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.1,541.48 Units,111 - 150,1 Year Warranty on Product,"₹63,500",46,"₹26,690"
Godrej 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4,789.6 Units,111 - 150,,"₹42,300",32,"₹26,690"
Haier 2025,2025,['1 Ton'],5 Star,Star Split Inverter,3.9,951.91 Units,111 - 150,1 Year on Product,"₹66,500",50,"₹33,490"
Midea 2025,2025,['1.5 Ton'],5 Star,Star Split Inverter,4.3,774.19 Units,90,1 Year Warranty on Product,"₹43,990",46,"₹33,990"
Godrej 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4,549.06 Units,111 - 150,,"₹75,990",33,"₹27,990"
Panasonic 1,,['1.5 Ton'],5 Star,Star Split Inverter,4.3,751.28 Units,90,1 Year Warranty on Product,"₹48,849",33,"₹44,350"
Lloyd 2025,2025,['0.8 Ton'],3 Star,Star Split Inverter,4.1,657.31 Units,151 - 200,,"₹77,990",47,"₹22,990"
Voltas 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,4.2,1264.42 Units,151 - 200,1 Year Warranty on Product,"₹57,000",51,"₹36,970"
IFB 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4,1360.88 Units,111 - 150,,"₹56,500",46,"₹25,990"
Lloyd 2025,2025,['2 Ton'],3 Star,Star Split Inverter,3.9,789.41 W,111 - 150,,"₹89,900",51,"₹37,876"
Mitsubishi Electric,2024,['1.8 Ton'],2 Star,Star Split AC,3.9,511.13 Units,90,(1 Year Standard,"₹63,990",19,"₹45,990"
Godrej 2023,2023,['1.5 Ton'],,,4.2,544.39 Units,90,,"₹42,500",40,"₹33,650"
Voltas 1,,['1.5 Ton'],5 Star,Star Split Inverter,4.2,774.58 Units,111 - 150,1 Year Warranty on Product,"₹69,900",58,"₹37,650"
Voltas 2024,2024,['1 Ton'],5 Star,Star Split Inverter,4.2,782.92 kWh,111 - 150,1 Year Warranty on Product,"₹64,990",48,"₹32,800"
Blue Star,2024,['0.8 Ton'],3 Star,Star Split Inverter,3.8,952.68 Units,111 - 150,1 Year Warranty on Product,"₹57,400",40,"₹25,490"
Hitachi 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,4,536.2 Units,90,1 Year Warranty on Product,"₹61,300",42,"₹40,450"
Sharp 2025,2025,['1.5 Ton'],5 Star,Star Split Inverter,3.6,1249.82 Units,151 - 200,(1 Year Standard,"₹81,500",46,"₹34,790"
Midea 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.3,752.72 W,111 - 150,5 Years Warranty on Whole Product,"₹83,390",51,"₹27,990"
CARRIER 2025,2025,['1 Ton'],5 Star,Star Split Inverter,4.1,704.46 Units,90,1 Year Warranty on Product,"₹56,990",47,"₹31,990"
CARRIER 2024,2024,['2 Ton'],3 Star,Star Split Inverter,4.2,536.2 Units,90,1 Year Warranty on Product,"₹64,790",39,"₹49,450"
Lloyd 2025,2025,['1.5 Ton'],5 Star,Star Split Inverter,4.1,685.62 Units,90,(1 Year Standard,"₹48,500",30,"₹58,090"
CARRIER 2024,2024,['1 Ton'],3 Star,Star Split Inverter,4.2,905.88 Units,111 - 150,(1 Year Standard,"₹40,450",52,"₹26,990"
CARRIER 2024,2024,['1 Ton'],5 Star,Star Split Inverter,4.1,964.1 Units,111 - 150,1 Year Warranty on Product,"₹67,790",41,"₹37,850"
Midea 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4.3,920.55 Units,151 - 200,1 Year Warranty on Product,"₹90,500",45,"₹26,490"
Godrej 2025,2025,['1.4 Ton'],3 Star,Star Split Inverter,3.8,536.2 Units,90,1 Year Warranty on Product,"₹54,700",34,"₹26,690"
CARRIER 2024,2024,['1.5 Ton'],3 Star,Star Split Inverter,4.2,789.6 Units,111 - 150,1 Year Warranty on Product,"₹63,500",56,"₹29,490"
CARRIER 2024,2024,['2 Ton'],5 Star,Star Split Inverter,4.2,859.34 Units,111 - 150,5 Years Warranty on Whole Product,"₹70,500",36,"₹57,650"
Midea 2025,2025,['1 Ton'],5 Star,Star Split Inverter,4.2,698.63 W,90,,"₹55,050",43,"₹30,990"
Midea 2025,2025,['1.5 Ton'],5 Star,Star Split Inverter,4.3,1127.1 Units,111 - 150,1 Year Warranty on Product,"₹52,250",46,"₹33,990"
CARRIER 2024,2024,['1.5 Ton'],4 Star,Star Split Inverter,4.2,1249.82 Units,151 - 200,1 Year Warranty on Product,"₹80,890",43,"₹39,850"
Hitachi 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4,951.91 Units,111 - 150,1 Year on Product,"₹42,300",46,"₹29,480"
Blue Star,,['1.5 Ton'],3 Star,Star Split AC,4.1,751.28 Units,111 - 150,,"₹75,990",34,"₹34,450"
CARRIER 2024,2024,['2 Ton'],3 Star,Star Split Inverter,4.2,754.05 Units,111 - 150,1 Year Warranty on Product,"₹72,990",46,"₹43,599"
Godrej 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4,1252.53 W,151 - 200,5 Years Warranty on Whole Product,"₹82,500",33,"₹27,990"
Voltas 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,4.2,657.31 Units,90,1 Year Warranty on Product,"₹48,849",51,"₹36,970"
CARRIER 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,4.2,511.13 Units,90,1 Year Warranty on Product,"₹63,990",45,"₹39,551"
IFB 2025,2025,['2 Ton'],3 Star,Star Split Inverter,4.2,953.49 kWh,111 - 150,(1 Year Standard,"₹62,500",43,"₹46,850"
IFB 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4,1046.29 Units,111 - 150,(1 Year Standard,"₹47,900",46,"₹25,990"
Voltas 2024,2024,['1 Ton'],5 Star,Star Split Inverter,4.2,795.19 Units,111 - 150,1 Year Warranty on Product,"₹72,900",48,"₹32,800"
Haier 1,,['1.5 Ton'],3 Star,Star Split Inverter,4,1005.71 Units,111 - 150,1 Year Comprehensive Warranty on Product,"₹61,990",50,"₹30,760"
Godrej 1,,['1.5 Ton'],3 Star,Star Split Inverter,4,952.68 Units,111 - 150,5 Years Warranty on Whole Product,"₹57,400",38,"₹29,599"
Lloyd 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,4.1,685.62 Units,90,(1 Year Standard,"₹48,500",44,"₹40,350"
Lloyd 2024,2024,['1.5 Ton'],3 Star,Star Split Inverter,4.1,689.77 Units,90,,"₹54,990",41,"₹35,999"
Midea 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.3,749.34 Units,90,1 Year Warranty on Product,"₹35,990",51,"₹27,990"
Midea 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4.3,905.88 Units,111 - 150,,"₹40,450",45,"₹26,490"
Lloyd Stylus,2025,['1 Ton'],3 Star,Star Split Inverter,4,536.2 Units,90,5 Years Warranty on Whole Product,"₹54,700",40,"₹32,990"
Voltas 2023,2023,['1 Ton'],3 Star,Star Window AC,4.2,836.95 kWh,151 - 200,(1 Year Standard,"₹80,100",32,"₹24,140"
Godrej 2025,2025,['1.4 Ton'],3 Star,Star Split Inverter,3.8,852.44 Units,111 - 150,5 Years Warranty on Whole Product,"₹78,990",34,"₹26,690"
Midea 2025,2025,['1 Ton'],5 Star,Star Split Inverter,4.2,1220.59 Units,151 - 200,1 Year Warranty on Product,"₹79,990",43,"₹30,990"
Haier 1,,['1.6 Ton'],5 Star,Star Split Inverter,4.2,1183.2 Units,151 - 200,1 Year Warranty on Product,"₹60,772",40,"₹47,890"
LG Convertible,2023,['1.5 Ton'],3 Star,Star Split Inverter,4.1,789.6 Units,111 - 150,,"₹63,500",56,"₹34,350"
Voltas 2,,['2 Ton'],3 Star,Star Split Inverter,4.1,951.91 Units,111 - 150,1 Year on Product,"₹42,300",38,"₹48,999"
Godrej 5,,['2 Ton'],3 Star,Star Split Inverter,3.9,751.28 Units,111 - 150,1 Year on Product,"₹75,990",37,"₹37,990"
Midea 2025,2025,['1.5 Ton'],5 Star,Star Split Inverter,4.3,663.61 Units,90,5 Years Warranty on Product,"₹49,999",46,"₹33,990"
Godrej 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4,751.28 Units,111 - 150,1 Year Warranty on Product,"₹75,990",33,"₹27,990"
Voltas 2023,2023,['1.5 Ton'],5 Star,Star Split Inverter,4.2,657.31 Units,90,(1 Year Standard,"₹48,849",53,"₹35,499"
realme TechLife,2024,['1 Ton'],3 Star,Star Split Inverter,4.2,701.52 Units,111 - 150,(1 Year Standard,"₹70,500",49,"₹25,490"
Voltas 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,4.2,698.63 kWh,90,5 Years Warranty on Product,"₹55,050",51,"₹36,970"
IFB 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4,836.95 Units,151 - 200,1 Year Warranty on Product,"₹76,500",46,"₹25,990"
Whirlpool 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,4.2,799.44 Units,111 - 150,5 Years Warranty on Whole Product,"₹82,100",51,"₹33,948"
Hitachi 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4,952.68 Units,111 - 150,(1 Year Standard,"₹57,400",44,"₹30,399"
Haier 2023,2023,['1.6 Ton'],5 Star,Star Split Inverter,4.2,685.62 Units,90,1 Year Warranty on Product,"₹48,500",48,"₹39,559"
General 1,,['1.5 Ton'],5 Star,Star Split Inverter,4.1,836.95 Units,151 - 200,1 Year Warranty on Product,"₹76,500",16,"₹68,919"
Midea 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.3,799.44 Units,111 - 150,5 Years Comprehensive Warranty on Product,"₹82,100",51,"₹27,990"
Midea 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4.3,905.88 Units,111 - 150,1 Year on Product,"₹40,450",45,"₹26,490"
Haier 2023,2023,['1.6 Ton'],5 Star,Star Split Inverter,4.2,536.2 Units,90,(1 Year Standard,"₹54,700",48,"₹39,559"
General 1,,['1.5 Ton'],5 Star,Star Split Inverter,4.1,684.14 W,90,5 Years Warranty on Whole Product,"₹52,990",16,"₹68,919"
Godrej 2025,2025,['1.4 Ton'],3 Star,Star Split Inverter,3.8,520.93 Units,90,1 Year Warranty on Product,"₹58,990",34,"₹26,690"
Midea 2025,2025,['1 Ton'],5 Star,Star Split Inverter,4.2,920.55 W,151 - 200,3 Years on Product,"₹88,000",43,"₹30,990"
Sansui 2025,2025,"['1 Ton', '1 Ton']",3 Star,Star Split Inverter,4.1,952.69 Units,111 - 150,,"₹49,999",51,"₹25,790"
Lloyd 2024,2024,['1 Ton'],5 Star,Star Split Inverter,4,789.6 Units,111 - 150,1 Year on Product,"₹63,500",43,"₹33,090"
CARRIER 2,,['2 Ton'],5 Star,Star Split Inverter,4.2,951.91 Units,111 - 150,,"₹42,300",37,"₹54,990"
MOTOROLA 2024,2024,['1.5 Ton'],3 Star,Star Split Inverter,4.2,520.93 Units,90,1 Year Warranty on Product,"₹61,490",44,"₹27,990"
Midea 2025,2025,['1.5 Ton'],5 Star,Star Split Inverter,4.3,767.34 Units,111 - 150,,"₹40,813",46,"₹33,990"
Godrej 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4,751.28 Units,111 - 150,,"₹75,990",33,"₹27,990"
Lloyd Stylus,2025,['1 Ton'],5 Star,Star Split Inverter,4,657.31 Units,90,1 Year Warranty on Product,"₹48,849",38,"₹37,990"
Admiral 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,4,966.47 Units,111 - 150,,"₹58,400",6,"₹37,990"
Voltas 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,4.2,975.26 Units,111 - 150,(1 Year Standard,"₹64,990",51,"₹36,970"
IFB 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4,0 Units,111 - 150,,"₹52,000",46,"₹25,990"
Daikin 2023,2023,['1.5 Ton'],3 Star,Star Split Inverter,4.2,511.13 Units,151 - 200,1 Year Warranty on Product,"₹64,500",40,"₹34,490"
Voltas 2024,2024,['1.5 Ton'],3 Star,Star Split Inverter,4.2,544.39 Units,90,1 Year Warranty on Product,"₹63,990",51,"₹31,340"
Whirlpool 1,,['1.5 Ton'],5 Star,Star Split Inverter,4.2,1197.2 Units,90,1 Year Warranty on Product,"₹42,500",30,"₹35,990"
Godrej 2,,['2 Ton'],,,4.1,1192.12 kWh,151 - 200,(1 Year Standard,"₹48,709",34,"₹41,950"
Voltas 2024,2024,['1 Ton'],5 Star,Star Split Inverter,4.2,952.68 Units,111 - 150,5 Years Warranty on Whole Product,"₹39,500",48,"₹32,800"
Blue Star,2024,['0.8 Ton'],3 Star,Star Split Inverter,4.2,536.2 Units,111 - 150,,"₹57,400",40,"₹25,490"
Whirlpool 2025,2025,['2 Ton'],3 Star,Star Split Inverter,4,765.86 Units,90,1 Year Warranty on Product,"₹61,300",22,"₹37,990"
Blue Star,,['1.5 Ton'],3 Star,Star Window AC,4.2,765.86 Units,111 - 150,(1 Year Standard,"₹56,500",27,"₹28,510"
Midea 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.3,544.39 Units,111 - 150,(1 Year Standard,"₹60,500",51,"₹27,990"
CARRIER 2025,2025,['1 Ton'],5 Star,Star Split Inverter,4.1,685.62 Units,90,5 Years Warranty on Whole Product,"₹42,500",47,"₹31,990"
Godrej 1,,['1.5 Ton'],5 Star,Star Split Inverter,4,905.88 Units,151 - 200,1 Year Warranty on the Product,"₹73,050",40,"₹33,650"
Godrej 1,,['1.5 Ton'],5 Star,Star Split Inverter,4,1194.27 Units,90,3 Years on Product,"₹48,500",44,"₹33,650"
Blue Star,2024,['0.8 Ton'],3 Star,Star Split Inverter,4.2,714.5 Units,111 - 150,1 Year Comprehensive Warranty on Product,"₹40,450",40,"₹25,490"
Hitachi 2025,2025,['2 Ton'],,,2.7,536.2 Units,111 - 150,5 Years Warranty on Whole Product,"₹41,490",40,"₹43,589"
Midea 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4.3,789.6 Units,111 - 150,,"₹70,500",45,"₹26,490"
Godrej 2025,2025,['1.4 Ton'],3 Star,Star Split Inverter,3.8,883.14 Units,90,1 Year Warranty on Product,"₹54,700",34,"₹26,690"
Hitachi 2025,2025,['1.5 Ton'],3 Star,Star Window Inverter,4.1,1183.2 Units,111 - 150,,"₹63,500",30,"₹28,910"
Lloyd 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,4.1,1274.05 Units,111 - 150,1 Year on Product,"₹49,990",47,"₹37,350"
Midea 2025,2025,['1 Ton'],5 Star,Star Split Inverter,4.2,808.94 Units,151 - 200,,"₹51,990",43,"₹30,990"
Midea 2025,2025,['1.5 Ton'],5 Star,Star Split Inverter,4.3,951.91 Units,151 - 200,1 Year Warranty on Product,"₹47,138",46,"₹33,990"
Godrej 5,2023,['1.5 Ton'],4 Star,Star Split Inverter,4,751.28 Units,151 - 200,,"₹68,990",39,"₹30,490"
Godrej 2024,2024,['2 Ton'],3 Star,Star Split Inverter,3.9,1005.66 Units,111 - 150,1 Year On Product,"₹42,300",26,"₹37,990"
Admiral 2024,2024,['2 Ton'],3 Star,Star Split Inverter,2.7,523.54 Units,111 - 150,1 Year Warranty on Product,"₹75,990",7,"₹43,490"
Lloyd 2,,['2 Ton'],3 Star,Star Split AC,3.9,657.31 Units,111 - 150,(1 Year Standard,"₹55,500",24,"₹52,221"
Godrej 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4,511.13 Units,90,(1 Year Standard,"₹48,849",33,"₹27,990"
Voltas 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,4.2,968.61 Units,90,1 Year on Product,"₹63,990",51,"₹36,970"
LG Super,2024,['1.5 Ton'],3 Star,Star Hot and,4.1,1089.35 kWh,90,1 Year Warranty on Product,"₹52,999",36,"₹89,990"
Daikin 2023,2023,['1 Ton'],5 Star,Star Split Inverter,4.2,1128.49 Units,111 - 150,5 Years Warranty on Whole Product,"₹50,000",46,"₹35,490"
IFB 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4,704.46 Units,111 - 150,(1 Year Standard,"₹61,900",48,"₹25,990"
Voltas 2024,2024,['1 Ton'],5 Star,Star Split Inverter,4.2,952.68 Units,111 - 150,1 Year Warranty on Product,"₹52,190",43,"₹32,800"
realme TechLife,,['1.5 Ton'],4 Star,Star Split Inverter,4.1,685.62 Units,90,1 Year Comprehensive Warranty on Product,"₹57,400",32,"₹29,999"
Blue Star,,['1.5 Ton'],5 Star,Star Window Inverter,4.2,721.04 kWh,111 - 150,1 Year on Product,"₹48,500",34,"₹33,800"
Godrej 1,,['1.5 Ton'],3 Star,Star Split Inverter,4,685.26 Units,90,1 Year Warranty on Product,"₹74,990",46,"₹32,850"
Midea 2023,2023,['1 Ton'],3 Star,Star Split Inverter,4.3,905.88 Units,111 - 150,(1 Year Standard,"₹65,986",46,"₹27,999"
Midea 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.3,536.2 Units,111 - 150,5 Years Warranty on Whole Product,"₹40,450",51,"₹27,990"
Midea 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4.3,754.05 Units,111 - 150,5 Years on the Product,"₹54,700",45,"₹26,490"
IFB 2025,2025,['1.5 Ton'],5 Star,Star Split Inverter,4.1,549.06 Units,90,1 Year Warranty on Product,"₹68,990",49,"₹38,190"
LG 1,,['1.5 Ton'],5 Star,Star Split Inverter,4.2,743.96 Units,111 - 150,,"₹47,990",34,"₹43,490"
Godrej 2025,2025,['1.4 Ton'],3 Star,Star Split Inverter,3.8,989.31 W,90,1 Year on Product,"₹60,800",34,"₹26,690"
Midea 2025,2025,['1 Ton'],5 Star,Star Split Inverter,4.2,789.6 Units,111 - 150,1 Year Standard Warranty on Product,"₹55,400",43,"₹30,990"
Midea 2023,2023,['1.5 Ton'],5 Star,Star Split Inverter,4.3,951.91 Units,111 - 150,1 Year Warranty on Product,"₹63,500",44,"₹37,990"
Lloyd 2023,2023,['0.8 Ton'],3 Star,Star Split Inverter,4.1,697.66 Units,111 - 150,1 Year Warranty on Product,"₹42,300",48,"₹24,900"
Lloyd 1,,['1.5 Ton'],3 Star,Star Split Inverter,4.1,985.71 Units,111 - 150,1 Year Warranty on Product,"₹60,500",43,"₹34,560"
Panasonic 1,,['1.5 Ton'],3 Star,Star Split AC,4.2,751.28 Units,90,,"₹45,991",35,"₹35,880"
Midea 2025,2025,['1.5 Ton'],5 Star,Star Split Inverter,4.3,657.31 Units,111 - 150,5 years comprehensive warranty on product,"₹75,990",46,"₹33,990"
Godrej 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4,977.8 Units,111 - 150,1 Year Warranty on Product,"₹48,849",33,"₹27,990"
Haier 2025,2025,['1 Ton'],3 Star,Star Split Triple,4.1,1118.58 Units,90,1 Year Warranty on Product,"₹62,990",50,"₹29,999"
TCL 1,,['1.5 Ton'],3 Star,Star Split Inverter,4.1,758.62 Units,111 - 150,(1 Year Standard,"₹62,500",7,"₹42,490"
Voltas 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,4.2,1159.8 Units,111 - 150,,"₹59,990",51,"₹36,970"
IFB 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4,511.13 Units,90,1 Year Warranty on Product,"₹89,490",46,"₹25,990"
Samsung Convertible,2024,['1.5 Ton'],3 Star,Star Split Inverter,4.1,852.47 Units,151 - 200,1 Year Warranty on Product,"₹63,990",36,"₹39,990"
CARRIER 1,,['1.5 Ton'],3 Star,Star Split Air,4.2,779.15 Units,90,,"₹72,790",42,"₹35,840"
CARRIER 1,,['1 Ton'],3 Star,Star Split Air,4.2,1161.78 Units,111 - 150,1 Year Warranty on Product,"₹50,900",49,"₹30,268"
Samsung 2025,2025,['2 Ton'],3 Star,Star Split Inverter,4,952.68 Units,111 - 150,(1 Year Standard,"₹67,190",45,"₹48,999"
Voltas 2024,2024,['1 Ton'],5 Star,Star Split Inverter,4.2,536.2 Units,151 - 200,5 Years Warranty on Whole Product,"₹57,400",48,"₹32,800"
Samsung 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.1,732.84 Units,111 - 150,1 Year on Product,"₹61,300",53,"₹33,991"
ONIDA 2023,2023,['1.5 Ton'],5 Star,Star Split Inverter,4.3,536.27 Units,90,1 Year Standard Warranty on Product,"₹59,490",27,"₹36,990"
Daikin 2024,2024,['1.8 Ton'],3 Star,Star Split Inverter,4.1,534.15 kWh,90,(1 Year Standard,"₹63,250",35,"₹43,490"
Midea 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.3,1012.44 Units,90,(1 Year Standard,"₹56,500",51,"₹27,990"
CARRIER 2025,2025,['1 Ton'],5 Star,Star Split Inverter,4.1,685.62 Units,90,1 Year Warranty on Product,"₹60,500",47,"₹31,990"
Haier 1,,['1 Ton'],3 Star,Star Split Inverter,4.1,905.88 Units,111 - 150,1 Year Comprehensive Warranty on Product,"₹48,500",48,"₹30,600"
Blue Star,,['1 Ton'],5 Star,Star Split Inverter,4.1,735.4 Units,90,1 Year Warranty on Product,"₹40,450",47,"₹33,489"
Hitachi 1,,['1 Ton'],5 Star,Star Split Inverter,4.2,977.8 Units,111 - 150,1 Year Warranty on Product,"₹68,990",33,"₹37,850"
Blue Star,,['1.5 Ton'],3 Star,Star Split Inverter,4.1,536.2 Units,111 - 150,5 Years Warranty on Whole Product,"₹54,700",43,"₹34,350"
Midea 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4.3,789.6 Units,111 - 150,,"₹63,500",45,"₹26,490"
Godrej 2025,2025,['1.4 Ton'],3 Star,Star Split Inverter,3.8,709.86 Units,90,5 Years Warranty on Whole Product,"₹49,900",34,"₹26,690"
Voltas 1,,['1.5 Ton'],5 Star,Star Split Inverter,4.2,669.16 Units,111 - 150,1 Year Warranty on Product,"₹54,300",46,"₹36,850"
Samsung Convertible,2023,['1.5 Ton'],3 Star,Star Split Inverter,4.1,694.32 Units,90,1 Year on Product,"₹50,400",43,"₹60,990"
Midea 2025,2025,['1 Ton'],5 Star,Star Split Inverter,4.2,1204.98 Units,90,,"₹45,999",46,"₹30,990"
Midea 2025,2025,['1.5 Ton'],5 Star,Star Split Inverter,4.3,951.91 Units,90,1 Year Warranty on Product,"₹42,300",39,"₹33,990"
Lloyd 2025,2025,['1 Ton'],3 Star,Star Split AC,4,751.28 Units,111 - 150,1 Year Comprehensive Warranty on Product,"₹75,990",50,"₹30,100"
Hitachi 2023,2023,['1 Ton'],3 Star,Star Split Inverter,4,980.37 Units,111 - 150,1 Year on Product,"₹46,900",32,"₹26,990"
Blue Star,,['1 Ton'],3 Star,Star Split Inverter,4.1,1050.84 Units,111 - 150,1 Year Warranty on Product,"₹68,990",40,"₹33,950"
Voltas 1,,['1.5 Ton'],3 Star,Star Window Inverter,4.2,657.31 Units,111 - 150,(1 Year Standard,"₹48,849",33,"₹27,599"
Godrej 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4,511.13 Units,111 - 150,(1 Year Standard,"₹63,990",51,"₹27,990"
Voltas 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,4.2,1239.69 Units,90,1 Year Warranty on Product,"₹79,000",36,"₹36,970"
Godrej 5,2024,['1.5 Ton'],3 Star,Star Split Inverter,4,1185.93 Units,90,1 Year Comprehensive Warranty on Product,"₹41,900",49,"₹29,599"
LG 2023,2023,['1.5 Ton'],3 Star,Star Split Inverter,4.1,1118.35 Units,151 - 200,5 Years Warranty on Whole Product,"₹49,900",46,"₹34,650"
