,Brand,Model_Year,Capacity,Star_Rating,Inverter_Type,Rating,Annual_Power,Room_size,Warranty,Original_Price,Dicount_Pct,Price_After_Discount
184,LG,2025,1.5,5,Star Split AI,4.2,511.13,151 - 200,1,59990,49,42990
185,Voltas,2025,2.0,3,Star Split Inverter,3.5,5800.0,151 - 200,1,67990,47,42199
186,Samsung,2025,2.0,3,Star Split Inverter,4.0,625.33,90,1,84990,48,45880
187,Haier,2025,1.0,3,Star Split Dual,4.1,744.75,111 - 150,5,79990,46,28990
188,Voltas,2025,1.5,3,Star Split Inverter,4.2,2000.0,111 - 150,5,89490,50,34400
189,Haier,2025,1.5,3,Star Window AC,3.9,688.52,90,1,54500,28,28525
190,Voltas,2024,1.0,3,Star Split Inverter,4.1,1037.79,111 - 150,1,68990,52,26999
191,Midea,2025,1.5,3,Star Split Inverter,4.3,1203.74,90,1,39900,51,27990
192,realme TechLife,2025,1.0,3,Star Split Inverter,4.2,672.93,111 - 150,1,56390,52,22990
193,Blue Star,2025,1.5,3,Star Split Inverter,4.1,952.68,90,1,57400,41,34490
194,Blue Star,2025,1.0,5,Star Split Inverter,4.1,678.85,111 - 150,1,47899,36,38450
195,Blue Star,2025,1.0,3,Star Split Inverter,4.1,1026.46,90,1,59200,35,30990
196,Blue Star,2024,0.8,3,Star Split Inverter,4.2,538.94,90,1,60500,40,25490
197,CARRIER,2025,1.0,5,Star Split Inverter,4.1,705.78,90,1,48300,47,31990
198,Mitsubishi Electric,2025,1.0,3,Star Split AC,4.1,544.39,90,1,42500,21,31490
199,LG,2025,2.0,3,Star Split AI,4.2,877.4391134020618,151 - 200,1,61300,43,47006
200,Panasonic,2025,1.0,4,Star Split Inverter,4.2,536.2,90,1,40200,29,33560
201,Voltas,2024,1.5,5,Star Split Inverter,4.1,675.02,111 - 150,1,82794,51,36970
202,Daikin,2025,1.8,3,Star Hot and,4.0,1218.49,151 - 200,1,47900,28,54899
203,Hitachi,2024,1.5,3,Star Split AC,4.3,589.45,111 - 150,1,75990,45,34990
204,MOTOROLA,2025,1.5,5,Star Split Inverter,3.7,751.28,111 - 150,1,76600,51,31290
205,Acerpure,2025,1.0,5,Star Split Inverter,4.0,1057.21,90,1,63850,44,26084
206,Samsung,2025,2.0,3,Star Split Inverter,4.3,1039.62,151 - 200,5,64499,48,45880
207,Midea,2025,1.5,3,Star Split Inverter,4.1,781.88,111 - 150,1,46990,51,27990
208,Panasonic,2024,1.5,4,Star Split Inverter,4.0,855.0,111 - 150,5,89490,37,36990
209,Panasonic,2025,0.8,3,Star Split Inverter,4.2,2000.0,90,1,57400,35,25990
210,Midea,2025,1.0,5,Star Split Inverter,4.1,952.68,90,1,59400,43,30990
211,Panasonic,2025,1.5,4,Star Split Inverter,4.1,876.76,111 - 150,1,40600,32,37490
212,Daikin,2023,1.0,3,Star Split Inverter,4.2,519.64,90,1,54700,35,30990
213,Panasonic,2024,2.0,3,Star Split Inverter,4.3,536.2,151 - 200,1,55600,33,42390
214,Panasonic,2024,1.5,5,Star Split Inverter,3.9,858.17,111 - 150,5,48200,40,37990
215,Haier,2025,1.5,3,Star Window AC,4.1,680.4,111 - 150,1,63900,38,25890
216,Voltas,2024,1.5,5,Star Split Inverter,4.2,1215.59,111 - 150,1,63400,51,36970
217,IFB,2025,1.0,3,Star Split Inverter,4.0,774.19,90,1,42000,46,25990
218,Haier,2025,1.5,5,Star Split Inverter,4.1,1192.12,111 - 150,1,75990,40,38650
219,MarQ,2024,1.5,5,Star Split Inverter,4.2,751.28,111 - 150,1,48849,54,27590
220,Blue Star,2024,0.8,3,Star Split Inverter,4.2,657.31,90,1,65000,40,25490
221,Voltas,2024,1.0,5,Star Split Inverter,4.2,880.3,90,1,59999,48,32800
222,Godrej,2024,1.0,5,Star Split Inverter,4.0,767.34,90,1,42500,38,29990
223,Godrej,2025,1.5,5,Star Split Inverter,4.0,544.39,111 - 150,5,63990,32,33990
224,MarQ,2024,1.5,4,Star Split Inverter,4.3,511.13,111 - 150,1,48990,7,49990
225,Godrej,2023,1.0,3,Star Split Inverter,4.0,516.37,90,1,50600,40,26999
226,IFB,2025,1.5,3,Star Split Inverter,4.2,728.31,111 - 150,1,53999,47,29990
227,Midea,2025,1.5,3,Star Split Inverter,4.3,832.59,111 - 150,1,45000,51,27990
228,Daikin,2025,1.0,3,Star Split Inverter,4.1,694.03,90,1,57146,23,31970
229,MarQ,2024,1.0,5,Star Split Inverter,4.2,946.17,90,1,57400,49,26990
230,Voltas,2024,1.0,3,Star Split Inverter,4.1,952.68,90,1,42000,52,26999
231,Blue Star,2025,1.5,5,Star Split Inverter,4.2,680.4,111 - 150,1,52999,40,40990
232,LG,2025,1.5,3,Star Split AI,4.1,675.18,111 - 150,1,56390,55,34490
233,General,2025,1.5,3,Star Split Inverter,3.5,672.93,111 - 150,1,69100,10,46881
234,Voltas,2023,2.0,3,Star Split AC,4.1,783.33,151 - 200,1,77990,43,42350
235,Thomson,2023,1.0,3,Star Split Inverter,3.8,852.44,90,1,52630,30,27990
236,Voltas,2025,2.0,3,Star Split Inverter,4.1,1058.54,151 - 200,1,75000,38,48999
237,Haier,2025,1.0,3,Star Split Dual,4.1,1323.72,90,5,39998,46,28990
238,Whirlpool,2023,1.5,4,Star Split Inverter,4.1,676.37,111 - 150,1,79990,44,36900
239,Whirlpool,2023,1.5,3,Star Split Inverter,4.1,1220.59,111 - 150,1,54500,47,33850
240,Voltas,2024,1.5,5,Star Split Inverter,4.2,688.52,111 - 150,1,66900,51,36970
241,IFB,2025,1.0,3,Star Split Inverter,4.0,854.16,90,1,64999,46,25990
242,Voltas,2025,1.5,3,Star Split Inverter,4.2,1015.5,111 - 150,1,75990,45,32850
243,Voltas,2023,2.0,5,Star Split Inverter,4.2,751.28,151 - 200,1,48849,45,50900
244,IFB,2025,1.5,5,Star Split Inverter,4.1,657.31,111 - 150,1,60500,37,37650
245,Godrej,2025,1.5,5,Star Window Inverter,4.0,1036.6,111 - 150,5,93999,40,29920
246,Blue Star,2024,0.8,3,Star Split Inverter,4.2,959.19,90,1,60500,40,25490
247,Voltas,2024,1.0,5,Star Split Inverter,4.2,867.16,90,1,49990,48,32800
